name,Phirea_time,UBC_cheap_time,UBC_time
data/TSP/RUE/350.tsp,0.049,0.07,6.6
data/TSP/RUE/351.tsp,0.08199999999999999,0.13,13.2
data/TSP/RUE/352.tsp,0.08900000000000001,0.2,18.52
data/TSP/RUE/353.tsp,0.034,0.03,2.98
data/TSP/RUE/354.tsp,0.099,0.18,13.96
data/TSP/RUE/355.tsp,0.040999999999999995,0.05,3.38
data/TSP/RUE/356.tsp,0.078,0.14,13.95
data/TSP/RUE/357.tsp,0.105,0.35,24.96
data/TSP/RUE/358.tsp,0.061,0.09,8.03
data/TSP/RUE/359.tsp,0.02,0.02,2.14
data/TSP/RUE/36.tsp,0.035,0.08,3.24
data/TSP/RUE/360.tsp,0.042,0.11,4.56
data/TSP/RUE/361.tsp,0.024,0.02,2.76
data/TSP/RUE/362.tsp,0.094,0.23,19.45
data/TSP/RUE/363.tsp,0.11699999999999999,0.22,28.34
data/TSP/RUE/364.tsp,0.076,0.13,15.15
data/TSP/RUE/365.tsp,0.02,0.03,2.27
data/TSP/RUE/366.tsp,0.063,0.13,8.0
data/TSP/RUE/367.tsp,0.099,0.35,18.08
data/TSP/RUE/368.tsp,0.069,0.11,8.0
data/TSP/RUE/369.tsp,0.06,0.09,8.33
data/TSP/RUE/37.tsp,0.098,0.19,16.21
data/TSP/RUE/370.tsp,0.043,0.06,4.91
data/TSP/RUE/371.tsp,0.084,0.17,10.73
data/TSP/RUE/372.tsp,0.045,0.06,4.87
data/TSP/RUE/373.tsp,0.039,0.05,4.83
data/TSP/RUE/374.tsp,0.092,0.18,16.5
data/TSP/RUE/375.tsp,0.055999999999999994,0.08,6.91
data/TSP/RUE/376.tsp,0.042,0.05,4.6
data/TSP/RUE/377.tsp,0.053,0.07,3.95
data/TSP/RUE/378.tsp,0.11199999999999999,0.23,19.21
data/TSP/RUE/379.tsp,0.06,0.1,11.04
data/TSP/RUE/38.tsp,0.077,0.13,9.57
data/TSP/RUE/380.tsp,0.035,0.05,3.09
data/TSP/RUE/381.tsp,0.091,0.18,17.68
data/TSP/RUE/382.tsp,0.10099999999999999,0.16,16.36
data/TSP/RUE/383.tsp,0.085,0.17,10.24
data/TSP/RUE/384.tsp,0.061,0.08,6.39
data/TSP/RUE/385.tsp,0.027999999999999997,0.03,2.76
data/TSP/RUE/386.tsp,0.069,0.18,11.78
data/TSP/RUE/387.tsp,0.03,0.03,2.89
data/TSP/RUE/388.tsp,0.065,0.15,9.49
data/TSP/RUE/389.tsp,0.138,0.23,25.16
data/TSP/RUE/39.tsp,0.106,0.21,21.4
data/TSP/RUE/390.tsp,0.055999999999999994,0.08,5.84
data/TSP/RUE/391.tsp,0.096,0.18,18.78
data/TSP/RUE/392.tsp,0.085,0.15,16.37
data/TSP/RUE/393.tsp,0.039,0.07,4.33
data/TSP/RUE/394.tsp,0.11699999999999999,0.23,19.35
data/TSP/RUE/395.tsp,0.066,0.15,9.55
data/TSP/RUE/396.tsp,0.105,0.21,18.37
data/TSP/RUE/397.tsp,0.098,0.19,20.5
data/TSP/RUE/398.tsp,0.042,0.05,3.51
data/TSP/RUE/399.tsp,0.051,0.07,6.88
data/TSP/RUE/4.tsp,0.09699999999999999,0.2,18.67
data/TSP/RUE/40.tsp,0.039,0.1,4.55
data/TSP/RUE/400.tsp,0.06,0.17,9.0
data/TSP/RUE/401.tsp,0.066,0.06,3.41
data/TSP/RUE/402.tsp,0.067,0.11,8.55
data/TSP/RUE/403.tsp,0.057999999999999996,0.09,8.29
data/TSP/RUE/404.tsp,0.071,0.1,7.99
data/TSP/RUE/405.tsp,0.069,0.1,7.6
data/TSP/RUE/406.tsp,0.057,0.09,7.01
data/TSP/RUE/407.tsp,0.032,0.08,2.99
data/TSP/RUE/408.tsp,0.067,0.13,8.62
data/TSP/RUE/409.tsp,0.087,0.28,16.75
data/TSP/RUE/41.tsp,0.067,0.1,7.48
data/TSP/RUE/410.tsp,0.086,0.26,16.11
data/TSP/RUE/411.tsp,0.08900000000000001,0.28,13.94
data/TSP/RUE/412.tsp,0.073,0.14,10.67
data/TSP/RUE/413.tsp,0.11199999999999999,0.23,24.27
data/TSP/RUE/414.tsp,0.02,0.02,2.06
data/TSP/RUE/415.tsp,0.066,0.17,7.81
data/TSP/RUE/416.tsp,0.095,0.33,19.11
data/TSP/RUE/417.tsp,0.06,0.1,8.66
data/TSP/RUE/418.tsp,0.087,0.15,13.25
data/TSP/RUE/419.tsp,0.08800000000000001,0.22,13.38
data/TSP/RUE/42.tsp,0.07,0.19,9.23
data/TSP/RUE/420.tsp,0.061,0.1,8.67
data/TSP/RUE/421.tsp,0.054000000000000006,0.06,5.51
data/TSP/RUE/422.tsp,0.073,0.22,12.46
data/TSP/RUE/423.tsp,0.095,0.19,17.6
data/TSP/RUE/424.tsp,0.049,0.07,5.91
data/TSP/RUE/425.tsp,0.077,0.15,11.77
data/TSP/RUE/426.tsp,0.099,0.2,21.84
data/TSP/RUE/427.tsp,0.022000000000000002,0.02,2.72
data/TSP/RUE/428.tsp,0.09699999999999999,0.27,23.16
data/TSP/RUE/429.tsp,0.083,0.26,13.21
data/TSP/RUE/43.tsp,0.05,0.07,5.22
data/TSP/RUE/430.tsp,0.027000000000000003,0.02,2.71
data/TSP/RUE/431.tsp,0.111,0.32,17.48
data/TSP/RUE/432.tsp,0.078,0.14,14.56
data/TSP/RUE/433.tsp,0.021,0.02,2.1
data/TSP/RUE/434.tsp,0.04,0.08,4.35
data/TSP/RUE/435.tsp,0.034,0.03,2.77
data/TSP/RUE/436.tsp,0.067,0.14,10.73
data/TSP/RUE/437.tsp,0.03,0.07,3.69
data/TSP/RUE/438.tsp,0.099,0.22,21.21
data/TSP/RUE/439.tsp,0.044000000000000004,0.04,4.08
data/TSP/RUE/44.tsp,0.11699999999999999,0.38,23.4
data/TSP/RUE/440.tsp,0.027000000000000003,0.03,3.27
data/TSP/RUE/441.tsp,0.037000000000000005,0.06,4.5
data/TSP/RUE/442.tsp,0.021,0.01,2.22
data/TSP/RUE/443.tsp,0.105,0.34,22.68
data/TSP/RUE/444.tsp,0.028999999999999998,0.03,3.01
data/TSP/RUE/445.tsp,0.045,0.09,4.78
data/TSP/RUE/446.tsp,0.077,0.21,13.26
data/TSP/RUE/447.tsp,0.038,0.04,3.76
data/TSP/RUE/448.tsp,0.032,0.04,3.39
data/TSP/RUE/449.tsp,0.059000000000000004,0.16,8.99
data/TSP/RUE/45.tsp,0.025,0.05,2.91
data/TSP/RUE/450.tsp,0.066,0.16,8.93
data/TSP/RUE/451.tsp,0.109,0.39,19.56
data/TSP/RUE/452.tsp,0.113,0.23,24.29
data/TSP/RUE/453.tsp,0.040999999999999995,0.05,4.71
data/TSP/RUE/454.tsp,0.077,0.14,8.32
data/TSP/RUE/455.tsp,0.021,0.05,2.84
data/TSP/RUE/456.tsp,0.06,0.14,9.63
data/TSP/RUE/457.tsp,0.037000000000000005,0.1,4.44
data/TSP/RUE/458.tsp,0.071,0.12,12.58
data/TSP/RUE/459.tsp,0.08199999999999999,0.12,10.6
data/TSP/RUE/46.tsp,0.026000000000000002,0.02,2.85
data/TSP/RUE/460.tsp,0.075,0.23,12.87
data/TSP/RUE/461.tsp,0.075,0.13,11.46
data/TSP/RUE/462.tsp,0.071,0.13,10.8
data/TSP/RUE/463.tsp,0.08,0.14,12.5
data/TSP/RUE/464.tsp,0.061,0.14,7.13
data/TSP/RUE/465.tsp,0.08,0.15,10.49
data/TSP/RUE/466.tsp,0.039,0.05,4.43
data/TSP/RUE/467.tsp,0.032,0.08,3.85
data/TSP/RUE/468.tsp,0.062,0.17,9.36
data/TSP/RUE/469.tsp,0.065,0.18,7.91
data/TSP/RUE/47.tsp,0.08800000000000001,0.17,14.86
data/TSP/RUE/470.tsp,0.09300000000000001,0.3,18.32
data/TSP/RUE/471.tsp,0.092,0.18,17.77
data/TSP/RUE/472.tsp,0.10400000000000001,0.17,14.07
data/TSP/RUE/473.tsp,0.049,0.12,5.68
data/TSP/RUE/474.tsp,0.10800000000000001,0.37,27.1
data/TSP/RUE/475.tsp,0.128,0.22,21.38
data/TSP/RUE/476.tsp,0.091,0.25,12.96
data/TSP/RUE/477.tsp,0.105,0.23,30.05
data/TSP/RUE/478.tsp,0.05,0.13,6.77
data/TSP/RUE/479.tsp,0.018000000000000002,0.04,2.36
data/TSP/RUE/48.tsp,0.023,0.05,2.62
data/TSP/RUE/480.tsp,0.052000000000000005,0.12,6.02
data/TSP/RUE/481.tsp,0.07400000000000001,0.13,12.09
data/TSP/RUE/482.tsp,0.09,0.18,15.47
data/TSP/RUE/483.tsp,0.027000000000000003,0.02,2.89
data/TSP/RUE/484.tsp,0.02,0.02,2.27
data/TSP/RUE/485.tsp,0.08199999999999999,0.16,10.27
data/TSP/RUE/486.tsp,0.044000000000000004,0.08,4.17
data/TSP/RUE/487.tsp,0.096,0.19,18.09
data/TSP/RUE/488.tsp,0.044000000000000004,0.05,4.65
data/TSP/RUE/489.tsp,0.027999999999999997,0.07,2.83
data/TSP/RUE/49.tsp,0.11699999999999999,0.27,33.47
data/TSP/RUE/490.tsp,0.042,0.11,4.19
data/TSP/RUE/491.tsp,0.023,0.02,2.69
data/TSP/RUE/492.tsp,0.027999999999999997,0.04,3.11
data/TSP/RUE/493.tsp,0.081,0.2,11.61
data/TSP/RUE/494.tsp,0.109,0.23,18.62
data/TSP/RUE/495.tsp,0.084,0.15,13.54
data/TSP/RUE/496.tsp,0.051,0.08,6.38
data/TSP/RUE/497.tsp,0.055,0.16,7.35
data/TSP/RUE/498.tsp,0.102,0.22,27.79
data/TSP/RUE/499.tsp,0.049,0.06,5.8
data/TSP/RUE/5.tsp,0.052000000000000005,0.07,5.74
data/TSP/RUE/50.tsp,0.11199999999999999,0.23,25.67
data/TSP/RUE/500.tsp,0.10300000000000001,0.34,25.66
data/TSP/RUE/501.tsp,0.027000000000000003,0.04,2.21
data/TSP/RUE/502.tsp,0.062,0.14,10.1
data/TSP/RUE/503.tsp,0.05,0.12,5.04
data/TSP/RUE/504.tsp,0.032,0.03,3.41
data/TSP/RUE/505.tsp,0.106,0.2,20.12
data/TSP/RUE/506.tsp,0.07,0.13,13.93
data/TSP/RUE/507.tsp,0.067,0.19,9.47
data/TSP/RUE/508.tsp,0.09,0.17,15.17
data/TSP/RUE/509.tsp,0.027000000000000003,0.03,2.91
data/TSP/RUE/51.tsp,0.019,0.04,2.39
data/TSP/RUE/510.tsp,0.027000000000000003,0.03,2.79
data/TSP/RUE/511.tsp,0.035,0.08,3.53
data/TSP/RUE/512.tsp,0.11,0.2,18.02
data/TSP/RUE/513.tsp,0.027999999999999997,0.06,3.0
data/TSP/RUE/514.tsp,0.019,0.02,2.08
data/TSP/RUE/515.tsp,0.028999999999999998,0.04,3.08
data/TSP/RUE/516.tsp,0.039,0.07,3.92
data/TSP/RUE/517.tsp,0.073,0.14,14.52
data/TSP/RUE/518.tsp,0.022000000000000002,0.02,2.4
data/TSP/RUE/519.tsp,0.035,0.08,4.32
data/TSP/RUE/52.tsp,0.08,0.14,11.38
data/TSP/RUE/520.tsp,0.036000000000000004,0.04,3.23
data/TSP/RUE/521.tsp,0.085,0.17,14.62
data/TSP/RUE/522.tsp,0.08800000000000001,0.16,14.46
