ins_name,Phirea_time
data/TSP/RUE/44.tsp,0.117
data/TSP/RUE/440.tsp,0.027
data/TSP/RUE/441.tsp,0.037
data/TSP/RUE/442.tsp,0.021
data/TSP/RUE/443.tsp,0.105
data/TSP/RUE/444.tsp,0.029
data/TSP/RUE/445.tsp,0.045
data/TSP/RUE/446.tsp,0.077
data/TSP/RUE/447.tsp,0.038
data/TSP/RUE/448.tsp,0.032
data/TSP/RUE/449.tsp,0.059
data/TSP/RUE/45.tsp,0.025
data/TSP/RUE/450.tsp,0.066
data/TSP/RUE/451.tsp,0.109
data/TSP/RUE/452.tsp,0.113
data/TSP/RUE/453.tsp,0.041
data/TSP/RUE/454.tsp,0.077
data/TSP/RUE/455.tsp,0.021
data/TSP/RUE/456.tsp,0.06
data/TSP/RUE/457.tsp,0.037
data/TSP/RUE/458.tsp,0.071
data/TSP/RUE/459.tsp,0.082
data/TSP/RUE/46.tsp,0.026
data/TSP/RUE/460.tsp,0.075
data/TSP/RUE/461.tsp,0.075
data/TSP/RUE/462.tsp,0.071
data/TSP/RUE/463.tsp,0.08
data/TSP/RUE/464.tsp,0.061
data/TSP/RUE/465.tsp,0.08
data/TSP/RUE/466.tsp,0.039
data/TSP/RUE/467.tsp,0.032
data/TSP/RUE/468.tsp,0.062
data/TSP/RUE/469.tsp,0.065
data/TSP/RUE/47.tsp,0.088
data/TSP/RUE/470.tsp,0.093
data/TSP/RUE/471.tsp,0.092
data/TSP/RUE/472.tsp,0.104
data/TSP/RUE/473.tsp,0.049
data/TSP/RUE/474.tsp,0.108
data/TSP/RUE/475.tsp,0.128
data/TSP/RUE/476.tsp,0.091
data/TSP/RUE/477.tsp,0.105
data/TSP/RUE/478.tsp,0.05
data/TSP/RUE/479.tsp,0.018
data/TSP/RUE/48.tsp,0.023
data/TSP/RUE/480.tsp,0.052
data/TSP/RUE/481.tsp,0.074
data/TSP/RUE/482.tsp,0.09
data/TSP/RUE/483.tsp,0.027
data/TSP/RUE/484.tsp,0.02
data/TSP/RUE/485.tsp,0.082
data/TSP/RUE/486.tsp,0.044
data/TSP/RUE/487.tsp,0.096
data/TSP/RUE/488.tsp,0.044
data/TSP/RUE/489.tsp,0.028
data/TSP/RUE/49.tsp,0.117
data/TSP/RUE/490.tsp,0.042
data/TSP/RUE/491.tsp,0.023
data/TSP/RUE/492.tsp,0.028
data/TSP/RUE/493.tsp,0.081
data/TSP/RUE/494.tsp,0.109
data/TSP/RUE/495.tsp,0.084
data/TSP/RUE/496.tsp,0.051
data/TSP/RUE/497.tsp,0.055
data/TSP/RUE/498.tsp,0.102
data/TSP/RUE/499.tsp,0.049
data/TSP/RUE/5.tsp,0.052
data/TSP/RUE/50.tsp,0.112
data/TSP/RUE/500.tsp,0.103
data/TSP/RUE/501.tsp,0.027
data/TSP/RUE/502.tsp,0.062
data/TSP/RUE/503.tsp,0.05
data/TSP/RUE/504.tsp,0.032
data/TSP/RUE/505.tsp,0.106
data/TSP/RUE/506.tsp,0.07
data/TSP/RUE/507.tsp,0.067
data/TSP/RUE/508.tsp,0.09
data/TSP/RUE/509.tsp,0.027
data/TSP/RUE/51.tsp,0.019
data/TSP/RUE/510.tsp,0.027
data/TSP/RUE/511.tsp,0.035
data/TSP/RUE/512.tsp,0.11
data/TSP/RUE/513.tsp,0.028
data/TSP/RUE/514.tsp,0.019
data/TSP/RUE/515.tsp,0.029
data/TSP/RUE/516.tsp,0.039
data/TSP/RUE/517.tsp,0.073
data/TSP/RUE/518.tsp,0.022
data/TSP/RUE/519.tsp,0.035
data/TSP/RUE/52.tsp,0.08
data/TSP/RUE/520.tsp,0.036
data/TSP/RUE/521.tsp,0.085
data/TSP/RUE/522.tsp,0.088
data/TSP/RUE/523.tsp,0.1
data/TSP/RUE/524.tsp,0.033
data/TSP/RUE/525.tsp,0.114
data/TSP/RUE/526.tsp,0.087
data/TSP/RUE/527.tsp,0.061
data/TSP/RUE/528.tsp,0.109
data/TSP/RUE/529.tsp,0.056
data/TSP/RUE/53.tsp,0.041
data/TSP/RUE/530.tsp,0.081
data/TSP/RUE/531.tsp,0.102
data/TSP/RUE/532.tsp,0.03
data/TSP/RUE/533.tsp,0.022
data/TSP/RUE/534.tsp,0.074
data/TSP/RUE/535.tsp,0.042
data/TSP/RUE/536.tsp,0.061
data/TSP/RUE/537.tsp,0.079
data/TSP/RUE/538.tsp,0.084
data/TSP/RUE/539.tsp,0.075
data/TSP/RUE/54.tsp,0.026
data/TSP/RUE/540.tsp,0.083
data/TSP/RUE/541.tsp,0.055
data/TSP/RUE/542.tsp,0.042
data/TSP/RUE/543.tsp,0.05
data/TSP/RUE/544.tsp,0.051
data/TSP/RUE/545.tsp,0.046
data/TSP/RUE/546.tsp,0.103
data/TSP/RUE/547.tsp,0.094
data/TSP/RUE/548.tsp,0.024
data/TSP/RUE/549.tsp,0.107
data/TSP/RUE/55.tsp,0.064
data/TSP/RUE/550.tsp,0.069
data/TSP/RUE/551.tsp,0.049
data/TSP/RUE/552.tsp,0.044
data/TSP/RUE/553.tsp,0.085
data/TSP/RUE/554.tsp,0.079
data/TSP/RUE/555.tsp,0.072
data/TSP/RUE/556.tsp,0.067
data/TSP/RUE/557.tsp,0.088
data/TSP/RUE/558.tsp,0.024
data/TSP/RUE/559.tsp,0.047
data/TSP/RUE/56.tsp,0.099
data/TSP/RUE/560.tsp,0.068
data/TSP/RUE/561.tsp,0.106
data/TSP/RUE/562.tsp,0.094
data/TSP/RUE/563.tsp,0.073
data/TSP/RUE/564.tsp,0.113
data/TSP/RUE/565.tsp,0.042
data/TSP/RUE/566.tsp,0.08
data/TSP/RUE/567.tsp,0.048
data/TSP/RUE/568.tsp,0.094
data/TSP/RUE/569.tsp,0.052
data/TSP/RUE/57.tsp,0.075
data/TSP/RUE/570.tsp,0.073
data/TSP/RUE/571.tsp,0.084
data/TSP/RUE/572.tsp,0.058
data/TSP/RUE/573.tsp,0.055
data/TSP/RUE/574.tsp,0.087
data/TSP/RUE/575.tsp,0.026
